Run, velocity(km/s), b(km/s), Temp(K), N_fit, upper_N_err, lower_N_err, q_fit, upper_q_err, lower_q_err, area, area_err
T0.3_v1000_chi300_cond, 30.328, 15.32, 5796.14, 6.4004139155e+16, 549132184.0, 6.40041388406e+16, 1.62311571974, 12.0150459166, 2.7880416642e-08, 2.16738664099e+15, 18590637.2007
T0.3_v1000_chi300_cond, 37.588, 36.966, 5435.818, 3.56744770664e+16, 304394560.0, 3.5674476295e+16, 0.855988847838, 10.7690259316, 1.17847129832e-08, 1.82415260448e+15, 12287121.1397
T0.3_v1000_chi300_cond, 59.61, 45.512, 8427.853, 2.32606647222e+16, 180223820.0, 2.32606647036e+16, 1.54091581633, 15.7773482715, 2.08519761458e-08, 8.13521410314e+14, 8911193.69188
T0.3_v1000_chi300_cond, 110.487, 99.44, 10665.566, 4.92015100984e+15, 38968517.0, 4.92015094631e+15, 0.535946997769, 21.815878695, 7.78209663377e-09, 3.43911665323e+14, 526086.0625
T3_v3000_chi3000_cond, 18.973, 36.403, 13791.298, 1.64535959948e+15, 191436678646.0, 1.64535959047e+15, 0.0195630989268, 47.2740167913, 1.88196431927e-05, 7.69067748938e+14, 388218.0
T3_v3000_chi3000_cond, 0.216, 24.85, 66034.697, 5.35788803281e+16, 542724824.0, 5.35788565525e+16, 4.77111125434, 6.41521517954, 7.59311895138e-07, 1.01147125182e+15, 162790.950259
T3_v3000_chi3000_cond, 42.075, 47.07, 16445.064, 2.2088513003e+16, 616871800.0, 2.20885127196e+16, 1.7232651214, 15.379830469, 6.25076630456e-08, 7.20934632064e+14, 2235266.91191
T3_v3000_chi3000_cond, 44.48, 47.383, 17530.308, 1.310612868e+17, 3626857568.0, 1.31061286783e+17, 14.234837532, 14.8992153164, 0.437320449842, 1.70867265128e+15, 23256006.4178
T1_v1700_chi1000_cond, 13.435, 24.621, 12170.059, 2.24607356312e+15, 520256197619.0, 2.24607330681e+15, 0.0350884115112, 41.7867943154, 9.69749540461e-08, 8.08790725272e+14, 303306.0
T1_v1700_chi1000_cond, 22.298, 26.853, 10229.637, 1.73484347147e+16, 112623116.0, 1.73484344471e+16, 0.687133108425, 19.462238502, 7.62355834016e-09, 1.02679980421e+15, 5381274.125
T1_v1700_chi1000_cond, 29.797, 31.283, 10283.654, 9.16488595136e+16, 1070363856.0, 9.16488593664e+16, 7.04297205979, 12.6212020636, 2.04688228056e-06, 1.47568836068e+15, 2117.46709795
T1_v1700_chi1000_cond, 37.929, 32.123, 9083.062, 6.08102284822e+16, 793720736.0, 6.08102284548e+16, 7.63698643241, 12.8610399882, 0.000403828840233, 9.50956778728e+14, 4510.07327687
T0.3_v1000_chi300, 105.586, 61.784, 14382.371, 1.10518067381e+16, 1024598070.0, 1.10518058073e+16, 0.634388623922, 20.3729793023, 9.79217729125e-09, 6.90008942258e+14, 9286973.625
T0.3_v1000_chi300, 138.547, 81.6, 14953.333, 8.66752964574e+15, 45001634.0, 8.66752911024e+15, 0.456516854976, 19.908119578, 3.88905208037e-09, 6.74520973218e+14, 220858.0
T0.3_v1000_chi300, 150.76, 71.206, 14431.308, 5.73072819674e+15, 47187419.0, 5.73072699245e+15, 0.280134772096, 27.8919259006, 4.03969274698e-09, 6.16451621427e+14, 1580221.25
T0.3_v1000_chi300, 207.101, 118.571, 19777.6, 1.17685396008e+15, 7.1464657082e+12, 1.17685366871e+15, 0.0707977093823, 37.5631638646, 6.20758890263e-07, 2.93963665641e+14, 3266734.0
T3_v3000_chi3000, 75.416, 69.602, 12389.879, 1.78408100319e+16, 3305374816.0, 1.78408081199e+16, 0.997055980656, 20.8805197965, 1.68345704044e-08, 8.24968335462e+14, 2697445.51588
T3_v3000_chi3000, 100.824, 70.455, 12902.646, 1.46718581516e+16, 137420660.0, 1.46718565369e+16, 0.7821155548, 12.8731639771, 7.64026086841e-09, 7.96549875851e+14, 1434000.875
T3_v3000_chi3000, 101.561, 65.002, 12952.769, 1.15110750759e+16, 91892654.0, 1.15110749098e+16, 0.843136946498, 16.6650335505, 1.15591496375e-08, 5.94529467747e+14, 5189086.06867
T3_v3000_chi3000, 120.674, 83.103, 14289.91, 3.56217622656e+15, 54792390.5, 3.56217548517e+15, 0.356738692876, 20.3940849248, 4.23607648958e-09, 3.26722167426e+14, 1660558.0
T1_v1700_chi1000, 87.015, 72.192, 13120.774, 2.71792625739e+16, 263086544.0, 2.71792623542e+16, 2.20871266058, 26.4106375672, 4.0198598672e-08, 7.64892022773e+14, 535032.453003
T1_v1700_chi1000, 117.477, 86.925, 14951.584, 1.78105297605e+16, 141264532.0, 1.78105295425e+16, 1.37547887298, 18.2441146421, 2.08553543324e-08, 6.69035645848e+14, 8526894.66958
T1_v1700_chi1000, 130.067, 73.614, 14683.775, 1.05283425215e+16, 86091106.0, 1.05283422214e+16, 0.87980347238, 14.7332608641, 1.35852030736e-08, 5.28658213758e+14, 7727066.24214
