Run, velocity(km/s), b(km/s), Temp(K), N_fit, upper_N_err, lower_N_err, q_fit, upper_q_err, lower_q_err, area, area_err
T0.3_v1000_chi300_cond, 26.655, 15.381, 6345.226, 2.07834632456e+18, 26741810432.0, 2.07834632455e+18, 1.80094764851, 24.7253611648, 3.9181771383e-08, 6.60350822453e+16, 494961405.325
T0.3_v1000_chi300_cond, 36.809, 39.841, 6192.531, 9.74075292514e+17, 16418080896.0, 9.74075292451e+17, 0.805011843719, 21.2282205238, 1.86780907407e-08, 5.18786121313e+16, 66622536.0
T0.3_v1000_chi300_cond, 60.345, 45.726, 8665.041, 7.79821903586e+17, 8828415616.0, 7.79821903577e+17, 1.34226462249, 25.243928559, 2.15623809918e-08, 2.97515739075e+16, 436129958.413
T0.3_v1000_chi300_cond, 110.315, 97.884, 10330.22, 2.04241454739e+17, 1695487712.0, 2.04241454529e+17, 0.528758344094, 23.8326908177, 8.64123517186e-09, 1.44059129332e+16, 19090016.0
T3_v3000_chi3000_cond, 19.809, 36.356, 12820.627, 7.38384012173e+16, 5.81678080394e+12, 7.38384012146e+16, 0.0194740080642, 39.6124575509, 1.8668143913e-05, 3.45778309852e+16, 17492484.0
T3_v3000_chi3000_cond, 2.002, 27.025, 70693.433, 1.25047446078e+18, 20502366720.0, 1.25047446077e+18, 4.44062770159, 16.3097082229, 2.59457169802e-05, 2.43902800358e+16, 1475591.40316
T3_v3000_chi3000_cond, 42.443, 47.507, 14571.344, 8.27325396036e+17, 20683736448.0, 8.27325395966e+17, 1.3491673028, 18.6527633553, 4.35237308416e-08, 3.1461127675e+16, 447656827.894
T3_v3000_chi3000_cond, 41.104, 51.423, 15400.863, 5.68529120356e+18, 407390742528.0, 5.68529120355e+18, 14.1537529889, 20.5406652932, 0.0354289835024, 7.42201451307e+16, 948264757.724
T1_v1700_chi1000_cond, 13.649, 24.728, 11820.301, 1.03488337805e+17, 3.85334570019e+12, 1.03488337796e+17, 0.0361166399271, 38.7141846546, 5.62201670115e-05, 3.67481124163e+16, 13562944.0
T1_v1700_chi1000_cond, 21.344, 26.582, 10597.092, 6.59920943957e+17, 5203757952.0, 6.59920943938e+17, 0.651980296191, 22.7044247504, 8.97369123454e-09, 4.04543412337e+16, 517423864.0
T1_v1700_chi1000_cond, 28.647, 30.499, 10194.11, 3.46174372015e+18, 47589170176.0, 3.46174371964e+18, 6.59896045848, 14.7650107191, 0.000721788678631, 5.71192184583e+16, 531489153.332
T1_v1700_chi1000_cond, 37.363, 33.259, 9312.738, 2.32828665947e+18, 4.33596950528e+12, 2.32828665946e+18, 7.30927787586, 20.8010196339, 0.0256606315164, 3.69844255889e+16, 92168.5386164
T0.3_v1000_chi300, 105.439, 90.733, 12746.813, 3.20738636124e+17, 66745603584.0, 3.20738635814e+17, 0.380533357125, 29.5164384044, 5.97185156881e-09, 2.81830039519e+16, 200180556.0
T0.3_v1000_chi300, 138.376, 113.364, 13061.285, 2.85444199667e+17, 1999617024.0, 2.85444199661e+17, 0.355939464349, 33.2395279344, 4.80094902722e-09, 2.62198718091e+16, 131618888.0
T0.3_v1000_chi300, 151.607, 103.146, 12766.008, 2.04665388028e+17, 1809541056.0, 2.04665388003e+17, 0.246556522889, 32.5030413556, 7.15979428523e-09, 2.39273756589e+16, 72804372.0
T0.3_v1000_chi300, 202.53, 170.053, 15963.929, 5.00505326319e+16, 2.86847438889e+13, 5.00505326015e+16, 0.0737528923515, 36.5600175801, 1.14448753509e-06, 1.22192112794e+16, 132328164.0
T3_v3000_chi3000, 75.382, 99.572, 11552.879, 4.61341760681e+17, 365411769344.0, 4.61341759655e+17, 0.564171024608, 25.5795642733, 1.58233395275e-08, 3.11572998439e+16, 90888632.0
T3_v3000_chi3000, 105.15, 92.301, 12001.396, 3.77882877121e+17, 30543688512.0, 3.77882876577e+17, 0.528903348418, 22.4150300961, 5.65209823389e-09, 2.66485963556e+16, 35414332.0
T3_v3000_chi3000, 103.577, 95.336, 11851.891, 3.83088496617e+17, 3230816128.0, 3.83088496616e+17, 0.717874373016, 34.6211441935, 1.33426267812e-08, 2.20207271437e+16, 85449340.0
T3_v3000_chi3000, 119.497, 106.108, 12580.384, 1.4203753005e+17, 1105770864.0, 1.42037528917e+17, 0.339726597119, 13.5518376676, 4.78526857028e-09, 1.34563808635e+16, 53124048.0
T1_v1700_chi1000, 86.772, 107.391, 12006.661, 8.22344263096e+17, 9793065856.0, 8.22344263095e+17, 1.59109550381, 30.6118471665, 3.3548868128e-08, 2.81930786114e+16, 322477462.862
T1_v1700_chi1000, 119.631, 111.47, 13320.95, 4.44771814998e+17, 3581299968.0, 4.44771811793e+17, 0.792117066353, 15.9119026731, 1.20763821165e-08, 2.39438857512e+16, 37365760.0
T1_v1700_chi1000, 130.646, 100.536, 12881.191, 3.62497712702e+17, 3428075456.0, 3.6249771268e+17, 0.734038459692, 30.0320688355, 1.29562948148e-08, 2.05298794967e+16, 67014240.0
T1_v1700_chi1000, 133.181, 152.093, 13670.431, 1.178854966e+17, 1937831504.0, 1.17885496521e+17, 0.264545720514, 20.2660053843, 3.97885097092e-09, 1.31645097534e+16, 35553100.0
HC_v1000_chi300_cond, 170.798, 147.891, 10930.24, 8.28347623708e+17, 3.22448743906e+14, 8.28347623682e+17, 0.0304005129925, 53.8120705135, 0.000338986947958, 3.19243527748e+17, 129313536.0
HC_v1000_chi300_cond, 181.289, 149.531, 10866.105, 5.66004821032e+17, 9.58530353236e+14, 5.66004821006e+17, 0.0200494257614, 40.477691637, 5.02948784924e-05, 2.61901002678e+17, 130666560.0
HC_v1000_chi300_cond, 257.472, 200.107, 11751.615, 5.73629417346e+17, 2.32085945014e+15, 5.73629417326e+17, 0.0442407396418, 41.0863251197, 0.00106836439107, 1.84149189815e+17, 2659100064.0
HC_v1000_chi300_cond, 368.99, 264.671, 11992.485, 5.2764830622e+17, 6.52277382112e+12, 5.27648306219e+17, 0.101296648568, 44.5207647801, 0.000209095562748, 1.07299660724e+17, 922859168.0
HC_v1700_chi1000_cond, 56.317, 53.506, 16843.562, 1.74578803199e+19, 1.33826211766e+14, 1.74578803199e+19, 2.77236880394, 28.9973437367, 4.9761062404e-06, 4.32143812623e+17, 704724491.521
HC_v1700_chi1000_cond, 82.769, 58.125, 10163.155, 4.93580162647e+18, 35946342400.0, 4.93580162646e+18, 0.525129207545, 26.8913429074, 6.85234369247e-09, 3.49750264262e+17, 431753984.0
HC_v1700_chi1000_cond, 74.512, 74.25, 12595.309, 3.41891859368e+18, 40602745344.0, 3.41891859057e+18, 2.18421630379, 14.3599538051, 7.39431715857e-08, 9.6843342575e+16, 65847096.8962
HC_v1700_chi1000_cond, 75.127, 73.838, 12716.548, 3.30691972778e+18, 2.00576340531e+12, 3.30691972778e+18, 2.14549559733, 20.492024858, 5.85745319848e-06, 9.46543142118e+16, 58239199.0562
HC_v3000_chi3000_cond, 39.832, 25.739, 25459.78, 6.67257055029e+18, 95223186432.0, 6.67257055029e+18, 0.456354493815, 32.7327131631, 1.04845436777e-08, 5.19393584924e+17, 169487360.0
HC_v3000_chi3000_cond, 40.506, 32.187, 16621.752, 1.50576803157e+19, 1.94566942463e+15, 1.50576803157e+19, 1.67625320466, 31.6350093762, 1.12106762318e-07, 4.99870827934e+17, 2560450758.51
HC_v3000_chi3000_cond, 57.456, 53.314, 15627.294, 1.59530343468e+19, 7.53451293014e+14, 1.59530343468e+19, 2.69743810911, 29.207825626, 7.91097101605e-06, 4.00881171714e+17, 474851320.594
HC_v3000_chi3000_cond, 62.304, 61.555, 11502.466, 8.08621037508e+18, 135906057216.0, 8.08621037506e+18, 2.46592896676, 24.6414419625, 6.98843205527e-08, 2.13638374023e+17, 133819348.122
LowCond_v1700_chi300_cond, 50.016, 53.786, 5262.864, 1.84427737353e+18, 3.22991349427e+12, 1.84427737353e+18, 1.5741125769, 34.1854869552, 3.86536846975e-08, 6.36516118307e+16, 794780059.286
LowCond_v1700_chi300_cond, 68.103, 59.071, 9748.343, 1.42315000072e+18, 49656901120.0, 1.42315000072e+18, 1.85461784098, 30.8854035914, 4.28186524015e-08, 4.44208952534e+16, 154668250.766
LowCond_v1700_chi300_cond, 77.462, 77.16, 11077.122, 9.29885025855e+17, 12198498176.0, 9.29885025748e+17, 1.6403463179, 23.6103971967, 4.89481837285e-08, 3.12841123441e+16, 228264195.47
LowCond_v1700_chi300_cond, 119.909, 108.595, 12022.371, 3.8734025789e+17, 5585850112.0, 3.87340257882e+17, 1.4714970444, 21.5006567117, 3.38755454798e-08, 1.39434365046e+16, 138588058.125
T0.3_v1700_chi300_cond, 23.467, 30.441, 11977.911, 8.6178894222e+16, 9.14246458189e+13, 8.61788940706e+16, 0.0262818009463, 48.2938869555, 0.000178908871158, 3.54936179082e+16, 15499276.0
