Run, velocity(km/s), b(km/s), Temp(K), N_fit, upper_N_err, lower_N_err, q_fit, upper_q_err, lower_q_err, area, area_err
T0.3_v1000_chi300_cond, 30.295, 974.933, 5689.161, 7.94662712326e+18, 4.0334154793e+12, 7.94662712326e+18, 1.63359176585, 35.0744344655, 3.68743571233e-08, 2.68030433316e+17, 2084933330.81
T0.3_v1000_chi300_cond, 37.551, 925.495, 5320.19, 4.43085850366e+18, 60191535104.0, 4.43085850364e+18, 0.868922335649, 32.9158678327, 3.63742855836e-08, 2.24325620835e+17, 1149454324.98
T0.3_v1000_chi300_cond, 59.458, 884.736, 8154.481, 2.87865988717e+18, 28320654336.0, 2.87865988717e+18, 1.56105795001, 30.9332619417, 2.71388220785e-08, 9.98672604335e+16, 1178076786.24
T0.3_v1000_chi300_cond, 110.2, 791.872, 9898.977, 6.00479166359e+17, 5460409216.0, 6.00479165991e+17, 0.547206432574, 26.2440893066, 7.81392350824e-09, 4.13921260782e+16, 80264592.0
T3_v3000_chi3000_cond, 17.839, 2773.619, 11884.041, 1.92803412134e+17, 2.29122592178e+13, 1.92803412123e+17, 0.0211920981749, 48.1387549538, 0.000262546052336, 8.71777945751e+16, 42350256.0
T3_v3000_chi3000_cond, 10.597, 2081.045, 49712.455, 4.96445676911e+17, 6866666624.0, 4.96445676862e+17, 3.11893889349, 13.0319807971, 2.78808184393e-05, 1.15351231405e+16, 79701283.9846
T3_v3000_chi3000_cond, 44.194, 2235.377, 11040.455, 2.2820969828e+18, 42864807424.0, 2.2820969827e+18, 1.35536102711, 27.9764145933, 4.38507703482e-08, 8.65302362011e+16, 1199014822.81
T3_v3000_chi3000_cond, 39.758, 1912.805, 13885.485, 1.27612814012e+19, 842219698176.0, 1.27612814012e+19, 14.1552834572, 19.3835056379, 0.290123497689, 1.66591286428e+17, 2130986551.03
T1_v1700_chi1000_cond, 13.506, 1601.737, 11485.652, 2.65502278195e+17, 1.36820195833e+13, 2.65502278193e+17, 0.0354509142197, 50.8160052809, 0.000370889493225, 9.51318105288e+16, 35474544.0
T1_v1700_chi1000_cond, 25.711, 1597.874, 7776.982, 2.55473796198e+18, 20394237952.0, 2.55473796192e+18, 0.724780970162, 29.7646096926, 1.05910473724e-08, 1.45916427353e+17, 526626432.0
T1_v1700_chi1000_cond, 30.0, 1503.756, 9427.158, 1.13272708321e+19, 4.45479671501e+13, 1.1327270832e+19, 7.16654466926, 23.3439534623, 0.0306149465905, 1.81225664143e+17, 337142.274569
T1_v1700_chi1000_cond, 38.044, 1572.738, 8824.28, 7.49489598967e+18, 146086093824.0, 7.49489598966e+18, 7.71046738251, 20.3016017992, 0.000425370417785, 1.16812126299e+17, 636659.383132
T0.3_v1000_chi300, 99.522, 811.447, 10515.538, 1.38430671886e+18, 78080365824.0, 1.38430671886e+18, 0.701188259115, 41.6393367993, 3.52303275175e-06, 8.08320473805e+16, 370771600.0
T0.3_v1000_chi300, 128.477, 715.651, 10486.746, 1.07452530492e+18, 8353796096.0, 1.07452530487e+18, 0.496971497933, 23.38157358, 7.18970605273e-09, 7.90032766373e+16, 57136112.0
T0.3_v1000_chi300, 139.591, 681.394, 10190.742, 6.95232412903e+17, 17929001600.0, 6.95232412171e+17, 0.30581925063, 28.1509462856, 5.35341687646e-09, 7.05995546045e+16, 192997608.0
T0.3_v1000_chi300, 195.197, 642.942, 12661.409, 1.41869413495e+17, 2.08546231988e+14, 1.41869413463e+17, 0.0962693794569, 32.8603473277, 1.45526770213e-05, 2.97260085435e+16, 266451048.0
T3_v3000_chi3000, 70.446, 2741.036, 9352.908, 2.30089142782e+18, 27156798976.0, 2.30089142754e+18, 1.10152670781, 28.9830209461, 2.46034437268e-08, 9.96906213697e+16, 524011692.814
T3_v3000_chi3000, 93.543, 2606.63, 9054.751, 1.81627714267e+18, 14536522240.0, 1.81627714193e+18, 0.821466104712, 25.6212862636, 8.03477251399e-09, 9.54424861638e+16, 1259337466.85
T3_v3000_chi3000, 94.084, 2605.737, 9517.891, 1.42984078826e+18, 27105137408.0, 1.42984078826e+18, 0.898570002968, 35.3525584929, 3.34774577504e-07, 7.08017191977e+16, 669788819.719
T3_v3000_chi3000, 114.585, 2727.558, 10673.845, 4.35329699025e+17, 4219131712.0, 4.35329699021e+17, 0.394192927378, 32.0212982347, 2.77668043003e-08, 3.73646823259e+16, 324120424.0
T1_v1700_chi1000, 82.118, 1508.277, 9952.89, 3.37013637088e+18, 46391089664.0, 3.37013637087e+18, 2.31155302688, 33.3740158027, 5.65576772082e-08, 9.23818576127e+16, 62418852.7297
T1_v1700_chi1000, 109.796, 1411.815, 10366.001, 2.22333778964e+18, 21336737280.0, 2.22333778957e+18, 1.48431890666, 27.5202737741, 2.50530196588e-08, 7.96008417824e+16, 789564399.349
T1_v1700_chi1000, 121.164, 1385.145, 10440.134, 1.28849730702e+18, 14959693056.0, 1.28849730698e+18, 0.940111855967, 28.3783207853, 1.82790423908e-08, 6.1928813699e+16, 666938812.779
T1_v1700_chi1000, 126.501, 1433.451, 11317.919, 3.57161562058e+17, 4663870016.0, 3.57161561936e+17, 0.331251116262, 29.0583231526, 2.26741543319e-08, 3.44071065922e+16, 121179528.0
HC_v1000_chi300_cond, 167.163, 678.308, 10294.974, 2.42467043958e+18, 2.89468168265e+15, 2.42467043958e+18, 0.0753100592994, 54.3420844322, 0.0432190983148, 5.85037327988e+17, 6250947712.0
HC_v1000_chi300_cond, 179.118, 649.326, 10370.689, 1.65483927803e+18, 7.96705317695e+15, 1.65483927802e+18, 0.0299569227011, 49.9355981484, 0.00806035958246, 6.42137678589e+17, 262120320.0
HC_v1000_chi300_cond, 254.814, 522.546, 11125.424, 1.61178305071e+18, 1.09842178004e+16, 1.61178305029e+18, 0.0490972474461, 46.4962078294, 0.00229169288501, 4.90432149652e+17, 6709560064.0
HC_v1000_chi300_cond, 365.723, 323.083, 11549.183, 1.502310529e+18, 1.35443765885e+13, 1.50231052892e+18, 0.117486955932, 37.0218826525, 2.47826901001e-07, 2.79660830178e+17, 2113368864.0
HC_v1700_chi1000_cond, 57.629, 2642.389, 13496.27, 4.39242386428e+19, 1.81617996759e+13, 4.39242386427e+19, 3.11622370598, 28.4333431913, 3.32868749453e-07, 1.02106701032e+18, 6981229038.87
