Run, velocity(km/s), b(km/s), Temp(K), N_fit, upper_N_err, lower_N_err, q_fit, upper_q_err, lower_q_err, area, area_err
T0.3_v1000_chi300_cond, 375.885, 619.983, 2571354.973, 2.08298389641e+13, 337848379082.0, 2.0828869929e+13, 0.167038154327, 32.0643651418, 4.43793399252e-08, 3.12292404333e+12, 17705.9467773
T0.3_v1000_chi300_cond, 173.831, 777.57, 2000485.097, 8.89777191444e+13, 849251.125, 8.89768248118e+13, 0.43977587331, 14.8375798872, 4.90333323944e-09, 7.0994547879e+12, 101099.96875
T0.3_v1000_chi300_cond, 297.484, 636.88, 2431766.352, 3.28946737444e+13, 125610721765.0, 3.28939913728e+13, 0.138324360197, 33.6809318328, 6.66381153036e-09, 5.54454894163e+12, 36282.3613281
T0.3_v1000_chi300_cond, 499.021, 394.104, 2622771.423, 3.3264262505e+13, 2839507556.17, 3.32635352088e+13, 0.168103689694, 23.6736597183, 3.8202100372e-09, 4.96730180833e+12, 28015.8876953
T3_v3000_chi3000_cond, 37.308, 2704.321, 867361.605, 1.58829929219e+14, 1017488571.75, 1.58821862673e+14, 0.175192001416, 12.7057225086, 2.15476944621e-09, 2.31095915759e+13, 125580.140625
T3_v3000_chi3000_cond, 16.475, 1986.791, 672107.958, 9.17032069305e+14, 15635528.25, 9.17031853213e+14, 9.57675783557, 12.0236722531, 0.000198878969535, 1.33089186206e+13, 1469.08661042
T3_v3000_chi3000_cond, 48.387, 2140.295, 904623.953, 2.76649157366e+14, 1744715.34375, 2.76647987107e+14, 0.491905921785, 10.1615558922, 5.17121867549e-09, 2.04803055009e+13, 13455.0390625
T3_v3000_chi3000_cond, 50.585, 1810.183, 798236.801, 8.65356608536e+14, 7391334.75, 8.65356552775e+14, 4.92517518811, 6.78420368564, 9.26871637219e-08, 1.61071193632e+13, 3960.25433823
T1_v1700_chi1000_cond, 19.488, 1567.014, 954203.697, 6.88676058158e+13, 463169415.211, 6.8867237771e+13, 0.165636789604, 20.6118932511, 2.93729229828e-09, 1.03796966068e+13, 59249.6074219
T1_v1700_chi1000_cond, 26.735, 1568.101, 1103446.68, 8.1658559275e+13, 8320315.20312, 8.16558714355e+13, 0.44887591368, 14.4158364837, 4.73674488521e-09, 6.42690659904e+12, 1787.38671875
