Run, velocity(km/s), b(km/s), Temp(K), N_fit, upper_N_err, lower_N_err, q_fit, upper_q_err, lower_q_err, area, area_err
T0.3_v1000_chi300_cond, 26.53, 13.699, 6367.534, 1.86041712443e+17, 1979009184.0, 1.86041712186e+17, 1.8073755107, 17.710085102, 5.71936014104e-08, 5.89831753918e+15, 40647967.8409
T0.3_v1000_chi300_cond, 36.79, 36.444, 6249.05, 8.65024908678e+16, 826358608.0, 8.65024908498e+16, 0.799977112765, 21.0954673488, 1.3258407372e-08, 4.62631477685e+15, 6419207.0
T0.3_v1000_chi300_cond, 60.38, 45.974, 8688.408, 6.99752420677e+16, 612139432.0, 6.99752420586e+16, 1.33448002983, 21.6746605905, 1.95839939821e-08, 2.67957801322e+15, 10926042.3788
T0.3_v1000_chi300_cond, 110.358, 98.511, 10311.606, 1.84101910252e+16, 137127124.0, 1.84101865129e+16, 0.526299057858, 13.4843301536, 7.35332950086e-09, 1.30260078002e+15, 1645026.0
T3_v3000_chi3000_cond, 20.35, 36.713, 12689.861, 6.86275146207e+15, 429335146028.0, 6.86275140332e+15, 0.0193291354456, 39.8602707181, 1.64282737868e-07, 3.2235846926e+15, 1636553.0
T3_v3000_chi3000_cond, 1.965, 26.734, 55232.656, 7.09428949499e+16, 775375640.0, 7.09428942633e+16, 4.00975792733, 12.1148532214, 1.06301194513e-07, 1.45200316851e+15, 20752.4231101
T3_v3000_chi3000_cond, 42.612, 46.716, 14521.348, 7.98540123843e+16, 1876426576.0, 7.98539558921e+16, 1.40369375248, 16.5412091639, 3.76286171111e-08, 2.96131978282e+15, 33956042.429
T3_v3000_chi3000_cond, 41.664, 47.337, 15877.55, 5.62678559731e+17, 17760438336.0, 5.62678559708e+17, 14.199125843, 15.3889229619, 1.01282592689, 7.34009349764e+15, 97164704.8617
T1_v1700_chi1000_cond, 13.64, 24.655, 11779.326, 9.54531432032e+15, 506219728838.0, 9.54531429447e+15, 0.0363795966597, 42.8362657086, 2.07228694177e-06, 3.37755934398e+15, 1241539.5
T1_v1700_chi1000_cond, 20.97, 25.923, 10762.754, 5.90469927841e+16, 388324720.0, 5.90469887139e+16, 0.649689780156, 12.620249058, 7.32649318991e-09, 3.62821873798e+15, 43869929.0
T1_v1700_chi1000_cond, 28.55, 30.164, 10222.924, 3.11594114594e+17, 3573724992.0, 3.11594114112e+17, 6.52461921494, 10.3735075889, 1.05153059176e-05, 5.1637188594e+15, 42109095.3765
T1_v1700_chi1000_cond, 37.295, 31.766, 9365.43, 2.10396854717e+17, 2799086784.0, 2.10396854172e+17, 7.24893547292, 10.4768826156, 0.000769251979386, 3.35216702924e+15, 7389.65432915
T0.3_v1000_chi300, 106.091, 65.717, 12502.113, 2.85243344241e+16, 4363389116.0, 2.85243343988e+16, 0.364756252762, 29.8479592981, 4.51927606449e-09, 2.57793826379e+15, 14952103.5
T0.3_v1000_chi300, 139.552, 86.949, 12781.3, 2.55057601481e+16, 221470068.0, 2.55057574568e+16, 0.344871395584, 33.5292821722, 2.70501537836e-09, 2.39244070565e+15, 10167726.5
T0.3_v1000_chi300, 152.961, 78.051, 12501.657, 1.84803105876e+16, 181287180.0, 1.84803103151e+16, 0.240756604989, 23.029864055, 3.78565448433e-09, 2.19414844652e+15, 6999149.5
T0.3_v1000_chi300, 203.363, 122.691, 15372.155, 4.56850877176e+15, 3.93079302537e+12, 4.56850876118e+15, 0.0703418698631, 46.7202390216, 1.7821232923e-05, 1.14527218614e+15, 12778290.0
T3_v3000_chi3000, 75.899, 76.073, 11369.787, 4.06069057576e+16, 8962149560.0, 4.06069057543e+16, 0.537787526837, 33.2595030827, 2.61571940774e-08, 2.83185496902e+15, 4497843.5
T3_v3000_chi3000, 106.252, 76.765, 11764.07, 3.34625839199e+16, 1522136296.0, 3.34625838703e+16, 0.510855396792, 30.8313537574, 5.27601839995e-09, 2.41532409509e+15, 2270095.0
T3_v3000_chi3000, 104.688, 68.586, 11661.316, 3.41904687729e+16, 232031600.0, 3.41904684167e+16, 0.698747605369, 21.4766842938, 8.14822298523e-09, 2.00109467948e+15, 9398187.0
T3_v3000_chi3000, 120.326, 86.124, 12379.519, 1.28097527858e+16, 105833192.0, 1.28097525418e+16, 0.332154722357, 21.5253559606, 4.63697102937e-09, 1.23180507278e+15, 4389177.25
T1_v1700_chi1000, 87.319, 78.009, 11825.75, 7.31401773588e+16, 593922256.0, 7.31401772859e+16, 1.54235831179, 23.5716379633, 2.13551434314e-08, 2.55652148693e+15, 28135813.4442
T1_v1700_chi1000, 120.54, 93.605, 13018.716, 3.92302409145e+16, 261406792.0, 3.92302366123e+16, 0.753047368338, 19.371846347, 1.01186943269e-08, 2.18424090637e+15, 5726103.5
T1_v1700_chi1000, 131.755, 76.925, 12616.143, 3.25866810394e+16, 259445144.0, 3.25866782296e+16, 0.718380713967, 18.2333172397, 9.80591108313e-09, 1.87226931384e+15, 7227150.5
T1_v1700_chi1000, 134.075, 92.37, 13409.261, 1.07095683139e+16, 695351928.0, 1.07095682948e+16, 0.255631663172, 24.7612219112, 3.134000226e-09, 1.22297483076e+15, 3482333.5
HC_v1000_chi300_cond, 171.477, 113.632, 10885.03, 7.43833820187e+16, 8.38075308045e+14, 7.43833814888e+16, 0.0303189849886, 44.7348455661, 0.000834320999827, 2.87030158299e+16, 11642888.0
HC_v1000_chi300_cond, 181.727, 123.392, 10842.516, 5.08930305549e+16, 3.61092123332e+14, 5.08930296667e+16, 0.0195956980882, 41.0742351034, 3.51873233538e-06, 2.37719993483e+16, 11990376.0
HC_v1000_chi300_cond, 257.955, 195.927, 11693.575, 5.17471013689e+16, 1.15339467003e+14, 5.17471012578e+16, 0.0422642982468, 45.3521513517, 8.98871071185e-06, 1.7000783461e+16, 251257844.0
HC_v1000_chi300_cond, 369.624, 299.108, 11920.47, 4.74266895734e+16, 1.85520361291e+12, 4.74266895568e+16, 0.0973129037986, 44.2816607887, 3.9646154445e-06, 9.87475884301e+15, 87755548.0
HC_v1700_chi1000_cond, 55.879, 53.076, 16978.883, 1.68733412839e+18, 23924504064.0, 1.68733412838e+18, 2.72617289684, 21.2255515647, 1.2866136645e-07, 4.21540935407e+16, 56341476.9227
HC_v1700_chi1000_cond, 82.849, 58.287, 10188.248, 4.44104049665e+17, 3545963392.0, 4.44104049553e+17, 0.520133371085, 25.2521659142, 7.29292803925e-09, 3.16712838357e+16, 35506916.0
HC_v1700_chi1000_cond, 74.52, 74.187, 12666.679, 3.18539713746e+17, 8964348288.0, 3.18539713733e+17, 2.15784939075, 20.0068902761, 1.60277504246e-06, 9.08703771394e+15, 5824224.41835
HC_v1700_chi1000_cond, 75.127, 73.772, 12812.426, 3.05825895865e+17, 3771216768.0, 3.05825895821e+17, 2.09332246556, 16.293961271, 5.12117001694e-07, 8.88105213039e+15, 3980631.34505
