Wavelength, Flux
1027.07, 0.948812
1027.14, 0.685555
1027.22, 0.476835
1027.29, 0.0993121
1027.36, 0.733954
1027.44, 0.901712
1027.51, 0.659537
1027.58, 0.622199
1027.66, 0.891951
1027.73, 0.854286
1027.80, 1.49138
1027.88, 1.21273
1027.95, 1.16181
1028.03, 1.25481
1028.10, 1.12982
1028.17, 0.892854
1028.25, 0.852289
1028.32, 0.783097
1028.39, 0.829975
1028.47, 0.363092
1028.54, 0.237483
1028.61, 0.299566
1028.69, 0.499504
1028.76, 0.903739
1028.83, 1.36491
1028.91, 0.898747
1028.98, 0.684042
1029.05, 1.13392
1029.13, 0.982740
1029.20, 0.943049
1029.27, 1.04648
1029.35, 1.02852
1029.42, 0.740802
1029.49, 1.01889
1029.57, 0.985269
1029.64, 0.882531
1029.72, 1.18343
1029.79, 1.14852
1029.86, 0.956178
1029.94, 0.866091
1030.01, 0.976353
1030.08, 0.931324
1030.16, 0.989737
1030.23, 0.919159
1030.30, 0.815739
1030.38, 0.802184
1030.45, 0.455045
1030.52, 0.616766
1030.60, 0.499231
1030.67, 0.371369
1030.74, 0.419987
1030.82, 0.0536616
1030.89, -0.00801264
1030.96, 0.106698
1031.04, 0.239149
1031.11, 0.139719
1031.18, 0.0557928
1031.26, 0.000848147
1031.33, 0.397477
1031.41, 0.366106
1031.48, 0.313969
1031.55, 0.485020
1031.63, 0.488060
1031.70, 0.466808
1031.77, 0.306029
1031.85, 0.370980
1031.92, 0.413967
1031.99, 0.769631
1032.07, 0.987553
1032.14, 0.788641
1032.21, 0.963700
1032.29, 1.10485
1032.36, 1.14066
1032.43, 1.06077
1032.51, 1.34693
1032.58, 1.31573
1032.65, 1.18327
1032.73, 1.13431
1032.80, 1.07882
1032.88, 1.18396
1032.95, 1.24001
1033.02, 1.03206
1033.10, 0.790207
1033.17, 0.817404
1033.24, 0.795917
1033.32, 0.839400
1033.39, 0.744053
1033.46, 0.731345
1033.54, 0.529271
1033.61, 0.349327
1033.68, 0.428772
1033.76, 0.511738
1033.83, 0.558457
1033.90, 0.699032
1033.98, 0.690676
1034.05, 0.663498
1034.12, 0.782674
1034.20, 0.776978
1034.27, 0.641570
1034.34, 0.336367
1034.42, 0.215092
1034.49, 0.315004
1034.57, 0.386981
1034.64, 0.542027
1034.71, 0.659335
1034.79, 0.668565
1034.86, 0.793981
1034.93, 0.660150
